Energy virulence model		dt	E_lower	 E_upper									
m	5997	0.01	0.5	0.9									
													
			smooth_step parameter										
			step_time	1.5									
													
				"E (Energy) series is fixed here, ie not calculated "									
k	t	E_lower (lhs)	E_upper (lhs)	E (lhs)	Step-Virulence (rhs)	Smooth-Step_Virulence (rhs)	E_lower<E<E_upper	E<E_lower	from below	t_last_switch	smoothstep		
0	0	0.5	0.9	1.1	0	0	0	0	0	-10	1		
1	0.01	0.5	0.9	1.0985	0	0	0	0	0	-10.000	1.000		
2	0.02	0.5	0.9	1.097	0	0	0	0	0	-10.000	1.000		
3	0.03	0.5	0.9	1.0955	0	0	0	0	0	-10.000	1.000		
4	0.04	0.5	0.9	1.094	0	0	0	0	0	-10.000	1.000		
5	0.05	0.5	0.9	1.0925	0	0	0	0	0	-10.000	1.000		
6	0.06	0.5	0.9	1.091	0	0	0	0	0	-10.000	1.000		
7	0.07	0.5	0.9	1.0895	0	0	0	0	0	-10.000	1.000		
8	0.08	0.5	0.9	1.088	0	0	0	0	0	-10.000	1.000		
9	0.09	0.5	0.9	1.0865	0	0	0	0	0	-10.000	1.000		
10	0.1	0.5	0.9	1.085	0	0	0	0	0	-10.000	1.000		
11	0.11	0.5	0.9	1.0835	0	0	0	0	0	-10.000	1.000		
12	0.12	0.5	0.9	1.082	0	0	0	0	0	-10.000	1.000		
13	0.13	0.5	0.9	1.0805	0	0	0	0	0	-10.000	1.000		
14	0.14	0.5	0.9	1.079	0	0	0	0	0	-10.000	1.000		
15	0.15	0.5	0.9	1.0775	0	0	0	0	0	-10.000	1.000		
16	0.16	0.5	0.9	1.076	0	0	0	0	0	-10.000	1.000		
17	0.17	0.5	0.9	1.0745	0	0	0	0	0	-10.000	1.000		
18	0.18	0.5	0.9	1.073	0	0	0	0	0	-10.000	1.000		
19	0.19	0.5	0.9	1.0715	0	0	0	0	0	-10.000	1.000		
20	0.2	0.5	0.9	1.07	0	0	0	0	0	-10.000	1.000		
21	0.21	0.5	0.9	1.0685	0	0	0	0	0	-10.000	1.000		
22	0.22	0.5	0.9	1.067	0	0	0	0	0	-10.000	1.000		
23	0.23	0.5	0.9	1.0655	0	0	0	0	0	-10.000	1.000		
24	0.24	0.5	0.9	1.064	0	0	0	0	0	-10.000	1.000		
25	0.25	0.5	0.9	1.0625	0	0	0	0	0	-10.000	1.000		
26	0.26	0.5	0.9	1.061	0	0	0	0	0	-10.000	1.000		
27	0.27	0.5	0.9	1.0595	0	0	0	0	0	-10.000	1.000		
28	0.28	0.5	0.9	1.058	0	0	0	0	0	-10.000	1.000		
29	0.29	0.5	0.9	1.0565	0	0	0	0	0	-10.000	1.000		
30	0.3	0.5	0.9	1.055	0	0	0	0	0	-10.000	1.000		
31	0.31	0.5	0.9	1.0535	0	0	0	0	0	-10.000	1.000		
32	0.32	0.5	0.9	1.052	0	0	0	0	0	-10.000	1.000		
33	0.33	0.5	0.9	1.0505	0	0	0	0	0	-10.000	1.000		
34	0.34	0.5	0.9	1.049	0	0	0	0	0	-10.000	1.000		
35	0.35	0.5	0.9	1.0475	0	0	0	0	0	-10.000	1.000		
36	0.36	0.5	0.9	1.046	0	0	0	0	0	-10.000	1.000		
37	0.37	0.5	0.9	1.0445	0	0	0	0	0	-10.000	1.000		
38	0.38	0.5	0.9	1.043	0	0	0	0	0	-10.000	1.000		
39	0.39	0.5	0.9	1.0415	0	0	0	0	0	-10.000	1.000		
40	0.4	0.5	0.9	1.04	0	0	0	0	0	-10.000	1.000		
41	0.41	0.5	0.9	1.0385	0	0	0	0	0	-10.000	1.000		
42	0.42	0.5	0.9	1.037	0	0	0	0	0	-10.000	1.000		
43	0.43	0.5	0.9	1.0355	0	0	0	0	0	-10.000	1.000		
44	0.44	0.5	0.9	1.034	0	0	0	0	0	-10.000	1.000		
45	0.45	0.5	0.9	1.0325	0	0	0	0	0	-10.000	1.000		
46	0.46	0.5	0.9	1.031	0	0	0	0	0	-10.000	1.000		
47	0.47	0.5	0.9	1.0295	0	0	0	0	0	-10.000	1.000		
48	0.48	0.5	0.9	1.028	0	0	0	0	0	-10.000	1.000		
49	0.49	0.5	0.9	1.0265	0	0	0	0	0	-10.000	1.000		
50	0.5	0.5	0.9	1.025	0	0	0	0	0	-10.000	1.000		
51	0.51	0.5	0.9	1.0235	0	0	0	0	0	-10.000	1.000		
52	0.52	0.5	0.9	1.022	0	0	0	0	0	-10.000	1.000		
53	0.53	0.5	0.9	1.0205	0	0	0	0	0	-10.000	1.000		
54	0.54	0.5	0.9	1.019	0	0	0	0	0	-10.000	1.000		
55	0.55	0.5	0.9	1.0175	0	0	0	0	0	-10.000	1.000		
56	0.56	0.5	0.9	1.016	0	0	0	0	0	-10.000	1.000		
57	0.57	0.5	0.9	1.0145	0	0	0	0	0	-10.000	1.000		
58	0.58	0.5	0.9	1.013	0	0	0	0	0	-10.000	1.000		
59	0.59	0.5	0.9	1.0115	0	0	0	0	0	-10.000	1.000		
60	0.6	0.5	0.9	1.01	0	0	0	0	0	-10.000	1.000		
61	0.61	0.5	0.9	1.0085	0	0	0	0	0	-10.000	1.000		
62	0.62	0.5	0.9	1.007	0	0	0	0	0	-10.000	1.000		
63	0.63	0.5	0.9	1.0055	0	0	0	0	0	-10.000	1.000		
64	0.64	0.5	0.9	1.004	0	0	0	0	0	-10.000	1.000		
65	0.65	0.5	0.9	1.0025	0	0	0	0	0	-10.000	1.000		
66	0.66	0.5	0.9	1.001	0	0	0	0	0	-10.000	1.000		
67	0.67	0.5	0.9	0.9995	0	0	0	0	0	-10.000	1.000		
68	0.68	0.5	0.9	0.998	0	0	0	0	0	-10.000	1.000		
69	0.69	0.5	0.9	0.9965	0	0	0	0	0	-10.000	1.000		
70	0.7	0.5	0.9	0.995	0	0	0	0	0	-10.000	1.000		
71	0.71	0.5	0.9	0.9935	0	0	0	0	0	-10.000	1.000		
72	0.72	0.5	0.9	0.992	0	0	0	0	0	-10.000	1.000		
73	0.73	0.5	0.9	0.9905	0	0	0	0	0	-10.000	1.000		
74	0.74	0.5	0.9	0.989	0	0	0	0	0	-10.000	1.000		
75	0.75	0.5	0.9	0.9875	0	0	0	0	0	-10.000	1.000		
76	0.76	0.5	0.9	0.986	0	0	0	0	0	-10.000	1.000		
77	0.77	0.5	0.9	0.9845	0	0	0	0	0	-10.000	1.000		
78	0.78	0.5	0.9	0.983	0	0	0	0	0	-10.000	1.000		
79	0.79	0.5	0.9	0.9815	0	0	0	0	0	-10.000	1.000		
80	0.8	0.5	0.9	0.98	0	0	0	0	0	-10.000	1.000		
81	0.81	0.5	0.9	0.9785	0	0	0	0	0	-10.000	1.000		
82	0.82	0.5	0.9	0.977	0	0	0	0	0	-10.000	1.000		
83	0.83	0.5	0.9	0.9755	0	0	0	0	0	-10.000	1.000		
84	0.84	0.5	0.9	0.974	0	0	0	0	0	-10.000	1.000		
85	0.85	0.5	0.9	0.9725	0	0	0	0	0	-10.000	1.000		
86	0.86	0.5	0.9	0.971	0	0	0	0	0	-10.000	1.000		
87	0.87	0.5	0.9	0.9695	0	0	0	0	0	-10.000	1.000		
88	0.88	0.5	0.9	0.968	0	0	0	0	0	-10.000	1.000		
89	0.89	0.5	0.9	0.9665	0	0	0	0	0	-10.000	1.000		
90	0.9	0.5	0.9	0.965	0	0	0	0	0	-10.000	1.000		
91	0.91	0.5	0.9	0.9635	0	0	0	0	0	-10.000	1.000		
92	0.92	0.5	0.9	0.962	0	0	0	0	0	-10.000	1.000		
93	0.93	0.5	0.9	0.9605	0	0	0	0	0	-10.000	1.000		
94	0.94	0.5	0.9	0.959	0	0	0	0	0	-10.000	1.000		
95	0.95	0.5	0.9	0.9575	0	0	0	0	0	-10.000	1.000		
96	0.96	0.5	0.9	0.956	0	0	0	0	0	-10.000	1.000		
97	0.97	0.5	0.9	0.9545	0	0	0	0	0	-10.000	1.000		
98	0.98	0.5	0.9	0.953	0	0	0	0	0	-10.000	1.000		
99	0.99	0.5	0.9	0.9515	0	0	0	0	0	-10.000	1.000		
100	1	0.5	0.9	0.95	0	0	0	0	0	-10.000	1.000		
101	1.01	0.5	0.9	0.9485	0	0	0	0	0	-10.000	1.000		
102	1.02	0.5	0.9	0.947	0	0	0	0	0	-10.000	1.000		
103	1.03	0.5	0.9	0.9455	0	0	0	0	0	-10.000	1.000		
104	1.04	0.5	0.9	0.944	0	0	0	0	0	-10.000	1.000		
105	1.05	0.5	0.9	0.9425	0	0	0	0	0	-10.000	1.000		
106	1.06	0.5	0.9	0.941	0	0	0	0	0	-10.000	1.000		
107	1.07	0.5	0.9	0.9395	0	0	0	0	0	-10.000	1.000		
108	1.08	0.5	0.9	0.938	0	0	0	0	0	-10.000	1.000		
109	1.09	0.5	0.9	0.9365	0	0	0	0	0	-10.000	1.000		
110	1.1	0.5	0.9	0.935	0	0	0	0	0	-10.000	1.000		
111	1.11	0.5	0.9	0.9335	0	0	0	0	0	-10.000	1.000		
112	1.12	0.5	0.9	0.932	0	0	0	0	0	-10.000	1.000		
113	1.13	0.5	0.9	0.9305	0	0	0	0	0	-10.000	1.000		
114	1.14	0.5	0.9	0.929	0	0	0	0	0	-10.000	1.000		
115	1.15	0.5	0.9	0.9275	0	0	0	0	0	-10.000	1.000		
116	1.16	0.5	0.9	0.926	0	0	0	0	0	-10.000	1.000		
117	1.17	0.5	0.9	0.9245	0	0	0	0	0	-10.000	1.000		
118	1.18	0.5	0.9	0.923	0	0	0	0	0	-10.000	1.000		
119	1.19	0.5	0.9	0.9215	0	0	0	0	0	-10.000	1.000		
120	1.2	0.5	0.9	0.92	0	0	0	0	0	-10.000	1.000		
121	1.21	0.5	0.9	0.9185	0	0	0	0	0	-10.000	1.000		
122	1.22	0.5	0.9	0.917	0	0	0	0	0	-10.000	1.000		
123	1.23	0.5	0.9	0.9155	0	0	0	0	0	-10.000	1.000		
124	1.24	0.5	0.9	0.914	0	0	0	0	0	-10.000	1.000		
125	1.25	0.5	0.9	0.9125	0	0	0	0	0	-10.000	1.000		
126	1.26	0.5	0.9	0.911	0	0	0	0	0	-10.000	1.000		
127	1.27	0.5	0.9	0.9095	0	0	0	0	0	-10.000	1.000		
